[Wed Jan 11 14:49:26.086166 2017] [:error] [pid 4903] [client 127.0.0.1:40328] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:28.231363 2017] [:error] [pid 4901] [client 127.0.0.1:40342] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:29.595847 2017] [:error] [pid 4855] [client 127.0.0.1:40344] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:29.852616 2017] [:error] [pid 2936] [client 127.0.0.1:40348] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:30.014026 2017] [:error] [pid 2933] [client 127.0.0.1:40346] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:30.142551 2017] [:error] [pid 2934] [client 127.0.0.1:40354] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:30.303521 2017] [:error] [pid 4903] [client 127.0.0.1:40364] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:30.426994 2017] [:error] [pid 2935] [client 127.0.0.1:40370] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 14:51:30.553215 2017] [:error] [pid 2932] [client 127.0.0.1:40374] PHP Fatal error:  Class 'AppBundle\\Form\\LegacyFormHelper' not found in /var/www/Aplikacija_Pweb/src/AppBundle/Form/RegistrationType.php on line 19
[Wed Jan 11 15:13:06.090043 2017] [:error] [pid 4901] [client 127.0.0.1:40846] PHP Fatal error:  Call to undefined method AppBundle\\Controller\\AdminController::render() in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/AdminController.php on line 23
[Wed Jan 11 15:36:57.139956 2017] [:error] [pid 6593] [client 127.0.0.1:41186] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /var/www/Aplikacija_Pweb/src/AppBundle/Controller/PrijavaController.php on line 34, referer: http://dev.aplikacijapweb/app_dev.php/
[Wed Jan 11 15:48:32.007460 2017] [:error] [pid 2936] [client 127.0.0.1:41218] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:32.011575 2017] [:error] [pid 2936] [client 127.0.0.1:41218] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:39.157115 2017] [:error] [pid 2932] [client 127.0.0.1:41220] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:39.161377 2017] [:error] [pid 2932] [client 127.0.0.1:41220] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:50.775697 2017] [:error] [pid 6593] [client 127.0.0.1:41230] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:50.779817 2017] [:error] [pid 6593] [client 127.0.0.1:41230] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:48:59.942739 2017] [:error] [pid 2933] [client 127.0.0.1:41236] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/
[Wed Jan 11 15:48:59.947025 2017] [:error] [pid 2933] [client 127.0.0.1:41236] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/
[Wed Jan 11 15:49:21.748738 2017] [:error] [pid 4855] [client 127.0.0.1:41242] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:49:21.753818 2017] [:error] [pid 4855] [client 127.0.0.1:41242] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:49:50.264081 2017] [:error] [pid 4903] [client 127.0.0.1:41246] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:49:50.268325 2017] [:error] [pid 4903] [client 127.0.0.1:41246] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:51:30.307438 2017] [:error] [pid 2934] [client 127.0.0.1:41250] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php
[Wed Jan 11 15:51:30.312053 2017] [:error] [pid 2934] [client 127.0.0.1:41250] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php
[Wed Jan 11 15:51:36.435077 2017] [:error] [pid 4902] [client 127.0.0.1:41262] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:51:36.439198 2017] [:error] [pid 4902] [client 127.0.0.1:41262] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/prijava
[Wed Jan 11 15:51:40.568461 2017] [:error] [pid 6593] [client 127.0.0.1:41266] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:51:40.572903 2017] [:error] [pid 6593] [client 127.0.0.1:41266] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:51:43.419133 2017] [:error] [pid 2933] [client 127.0.0.1:41272] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:51:43.423191 2017] [:error] [pid 2933] [client 127.0.0.1:41272] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:59:24.870645 2017] [:error] [pid 4855] [client 127.0.0.1:41292] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 15:59:24.874674 2017] [:error] [pid 4855] [client 127.0.0.1:41292] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:01:11.651916 2017] [:error] [pid 2932] [client 127.0.0.1:41312] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:01:11.656535 2017] [:error] [pid 2932] [client 127.0.0.1:41312] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
